Date,Close,High,Low,Open,Volume,Symbol
2019-02-27,9.850000381,10.25,9.329999924,10.14999962,53234300,NIO
2019-02-28,9.569999695,9.930000305,9.460000038,9.850000381,26506000,NIO
2019-03-01,10.06000042,10.19999981,9.729999542,9.819999695,32409400,NIO
2019-03-04,9.779999733,10.36999989,9.149999619,10.31999969,43753300,NIO
2019-03-05,10.15999985,10.63000011,9.699999809,9.800000191,53680800,NIO
2019-03-06,8.010000229,8.720000267,8,8.260000229,73522700,NIO
2019-03-07,7.090000153,7.949999809,7,7.809999943,52469600,NIO
2019-03-08,7.059999943,7.199999809,6.849999905,7.019999981,32040600,NIO
2019-03-11,6.590000153,6.980000019,6.550000191,6.949999809,62544500,NIO
2019-03-12,6.389999866,6.639999866,6.369999886,6.619999886,41616000,NIO
2019-03-13,6.53000021,6.769999981,6.239999771,6.320000172,41727200,NIO
2019-03-14,6.03000021,6.639999866,6,6.630000114,58983400,NIO
2019-03-15,5.710000038,6.130000114,5.710000038,6.119999886,85777000,NIO
2019-03-18,5.75,5.949999809,5.440000057,5.690000057,76506100,NIO
2019-03-19,5.960000038,6.03000021,5.730000019,5.75,54509200,NIO
2019-03-20,5.849999905,6.03000021,5.710000038,6.019999981,39053700,NIO
2019-03-21,5.840000153,5.949999809,5.739999771,5.75,21368900,NIO
2019-03-22,5.619999886,5.869999886,5.599999905,5.800000191,24956500,NIO
2019-03-25,5.349999905,5.659999847,5.269999981,5.619999886,38993300,NIO
2019-03-26,4.960000038,5.21999979,4.900000095,5.199999809,67206300,NIO
2019-03-27,4.980000019,5.190000057,4.960000038,5.010000229,39753400,NIO
2019-03-28,5.010000229,5.170000076,4.929999828,5.039999962,29281400,NIO
2019-03-29,5.099999905,5.130000114,5.03000021,5.059999943,23595900,NIO
2019-04-01,5.210000038,5.400000095,5.139999866,5.289999962,32404600,NIO
2019-04-02,5.389999866,5.610000134,5.349999905,5.429999828,55814800,NIO
2019-04-03,5.309999943,5.579999924,5.230000019,5.550000191,35197400,NIO
2019-04-04,5.349999905,5.5,5.269999981,5.389999866,31696600,NIO
2019-04-05,5.360000134,5.400000095,5.309999943,5.369999886,18093400,NIO
2019-04-08,5.300000191,5.380000114,5.25,5.329999924,17349800,NIO
2019-04-09,5.079999924,5.28000021,5.059999943,5.28000021,32590100,NIO
2019-04-10,5.050000191,5.110000134,4.960000038,5.059999943,25958700,NIO
2019-04-11,5.010000229,5.090000153,4.96999979,5,17642600,NIO
2019-04-12,4.989999771,5.059999943,4.949999809,5.03000021,15561300,NIO
2019-04-15,4.75,5,4.71999979,4.989999771,27489100,NIO
2019-04-16,4.449999809,4.809999943,4.429999828,4.800000191,46354500,NIO
2019-04-17,4.590000153,4.71999979,4.510000229,4.610000134,30546400,NIO
2019-04-18,4.789999962,4.920000076,4.440000057,4.53000021,31206500,NIO
2019-04-22,4.78000021,4.809999943,4.619999886,4.739999771,12936700,NIO
2019-04-23,4.829999924,4.920000076,4.730000019,4.820000172,15107000,NIO
2019-04-24,5,5.010000229,4.75,4.789999962,20401300,NIO
2019-04-25,4.900000095,5.150000095,4.849999905,5.010000229,21552800,NIO
2019-04-26,4.920000076,4.929999828,4.769999981,4.849999905,11891300,NIO
2019-04-29,4.980000019,5.050000191,4.869999886,4.889999866,15202800,NIO
2019-04-30,4.849999905,5.079999924,4.800000191,4.980000019,14434600,NIO
2019-05-01,4.679999828,4.849999905,4.679999828,4.840000153,13308300,NIO
2019-05-02,4.71999979,4.75,4.570000172,4.739999771,14080400,NIO
2019-05-03,5.019999981,5.110000134,4.730000019,4.730000019,25245500,NIO
2019-05-06,4.880000114,4.880000114,4.690000057,4.71999979,16144400,NIO
2019-05-07,4.840000153,4.920000076,4.760000229,4.809999943,11545700,NIO
2019-05-08,4.570000172,4.809999943,4.559999943,4.789999962,20456900,NIO
2019-05-09,4.599999905,4.699999809,4.510000229,4.539999962,15759700,NIO
2019-05-10,4.559999943,4.659999847,4.510000229,4.599999905,17146500,NIO
2019-05-13,4.329999924,4.5,4.300000191,4.5,21804500,NIO
2019-05-14,4.670000076,4.670000076,4.409999847,4.46999979,27925700,NIO
2019-05-15,4.710000038,4.75,4.53000021,4.590000153,14669000,NIO
2019-05-16,4.659999847,4.849999905,4.610000134,4.650000095,16198000,NIO
2019-05-17,4.420000076,4.699999809,4.420000076,4.579999924,19775700,NIO
2019-05-20,4.25,4.400000095,4.110000134,4.380000114,23571700,NIO
2019-05-21,4.289999962,4.449999809,4.25,4.349999905,23435300,NIO
2019-05-22,4.050000191,4.300000191,4,4.25,35451300,NIO
2019-05-23,3.930000067,4.03000021,3.829999924,3.960000038,27855500,NIO
2019-05-24,3.859999895,4.050000191,3.809999943,3.980000019,26069400,NIO
2019-05-28,4,4.139999866,3.880000114,4.119999886,114474400,NIO
2019-05-29,3.609999895,3.900000095,3.599999905,3.890000105,41690400,NIO
2019-05-30,3.24000001,3.549999952,3.109999895,3.549999952,55942200,NIO
2019-05-31,3.049999952,3.150000095,3,3.069999933,39383300,NIO
2019-06-03,2.960000038,3.059999943,2.74000001,2.980000019,51793000,NIO
2019-06-04,3.039999962,3.109999895,2.970000029,3,30924000,NIO
2019-06-05,2.829999924,3.089999914,2.75999999,3.069999933,38179100,NIO
2019-06-06,2.650000095,2.900000095,2.539999962,2.900000095,54094300,NIO
2019-06-07,2.75999999,2.809999943,2.549999952,2.640000105,31397900,NIO
2019-06-10,2.630000114,2.819999933,2.589999914,2.75,35989100,NIO
2019-06-11,2.609999895,2.670000076,2.549999952,2.670000076,33070100,NIO
2019-06-12,2.549999952,2.619999886,2.5,2.619999886,30099500,NIO
2019-06-13,2.519999981,2.619999886,2.5,2.549999952,21962600,NIO
2019-06-14,2.420000076,2.450000048,2.349999905,2.440000057,27065700,NIO
2019-06-17,2.460000038,2.529999971,2.349999905,2.390000105,20830100,NIO
2019-06-18,2.529999971,2.710000038,2.450000048,2.519999981,50080800,NIO
2019-06-19,2.74000001,2.839999914,2.559999943,2.670000076,43761900,NIO
2019-06-20,2.829999924,3.049999952,2.799999952,2.869999886,55697200,NIO
2019-06-21,2.640000105,2.900000095,2.569999933,2.880000114,49602400,NIO
2019-06-24,2.640000105,2.690000057,2.50999999,2.609999895,22693900,NIO
2019-06-25,2.599999905,2.660000086,2.549999952,2.640000105,16273100,NIO
2019-06-26,2.549999952,2.730000019,2.539999962,2.640000105,20679300,NIO
2019-06-27,2.599999905,2.619999886,2.440000057,2.50999999,27685600,NIO
2019-06-28,2.549999952,2.630000114,2.50999999,2.599999905,17640300,NIO
2019-07-01,2.599999905,2.680000067,2.579999924,2.670000076,19462800,NIO
2019-07-02,2.819999933,2.849999905,2.569999933,2.599999905,35317300,NIO
2019-07-03,3.130000114,3.289999962,2.900000095,2.930000067,75342400,NIO
2019-07-05,3.25999999,3.339999914,3.150000095,3.309999943,35914600,NIO
2019-07-08,3.49000001,3.5,3.130000114,3.210000038,40424000,NIO
2019-07-09,3.690000057,3.900000095,3.420000076,3.579999924,87406100,NIO
2019-07-10,3.680000067,4,3.599999905,3.950000048,85126100,NIO
2019-07-11,3.420000076,3.680000067,3.319999933,3.640000105,57070300,NIO
2019-07-12,3.450000048,3.640000105,3.319999933,3.339999914,39432200,NIO
2019-07-15,3.390000105,3.519999981,3.339999914,3.49000001,19833100,NIO
2019-07-16,3.299999952,3.450000048,3.25999999,3.400000095,25764600,NIO
2019-07-17,3.440000057,3.519999981,3.25,3.279999971,26705000,NIO
2019-07-18,3.430000067,3.5,3.309999943,3.470000029,17544400,NIO
2019-07-19,3.369999886,3.480000019,3.359999895,3.430000067,13784300,NIO
2019-07-22,3.380000114,3.450000048,3.309999943,3.380000114,12376900,NIO
2019-07-23,3.460000038,3.49000001,3.369999886,3.430000067,12462000,NIO
2019-07-24,3.670000076,3.75,3.440000057,3.450000048,38844800,NIO
2019-07-25,3.5,3.720000029,3.5,3.680000067,26513300,NIO
2019-07-26,3.50999999,3.619999886,3.5,3.559999943,15606300,NIO
2019-07-29,3.460000038,3.579999924,3.319999933,3.549999952,25890700,NIO
2019-07-30,3.380000114,3.440000057,3.349999905,3.430000067,14127900,NIO
2019-07-31,3.470000029,3.529999971,3.359999895,3.380000114,19917200,NIO
2019-08-01,3.279999971,3.50999999,3.200000048,3.450000048,28758400,NIO
2019-08-02,3.269999981,3.329999924,3.160000086,3.210000038,17211300,NIO
2019-08-05,2.950000048,3.140000105,2.849999905,3.140000105,38736200,NIO
2019-08-06,3.079999924,3.140000105,3,3.089999914,23455700,NIO
2019-08-07,3.089999914,3.089999914,2.930000067,3.039999962,18090400,NIO
2019-08-08,3.170000076,3.25999999,3.109999895,3.130000114,20999800,NIO
2019-08-09,3.130000114,3.180000067,3.099999905,3.099999905,10610000,NIO
2019-08-12,3.049999952,3.109999895,2.960000038,3.049999952,13991200,NIO
2019-08-13,3.150000095,3.200000048,3,3,18541900,NIO
2019-08-14,2.900000095,3.079999924,2.880000114,3.079999924,28205900,NIO
2019-08-15,2.819999933,2.99000001,2.769999981,2.99000001,15736000,NIO
2019-08-16,2.950000048,3.00999999,2.859999895,2.890000105,15884200,NIO
2019-08-19,3,3.099999905,3,3,13657100,NIO
2019-08-20,3.160000086,3.210000038,3,3.059999943,16688200,NIO
2019-08-21,3.049999952,3.269999981,3.019999981,3.230000019,21513600,NIO
2019-08-22,3.019999981,3.089999914,3.00999999,3.059999943,12404300,NIO
2019-08-23,2.920000076,3.039999962,2.890000105,2.970000029,13584500,NIO
2019-08-26,2.900000095,2.950000048,2.829999924,2.950000048,14119000,NIO
2019-08-27,2.910000086,3,2.829999924,2.920000076,20392000,NIO
2019-08-28,2.839999914,2.920000076,2.829999924,2.900000095,10478000,NIO
