Date,Close,High,Low,Open,Volume,Symbol
2020-07-30,16.45999908,17.5,15.10000038,15.48999977,64611300,LI
2020-07-31,16,17.17000008,15.98999977,16.67000008,19532800,LI
2020-08-03,16.36000061,17,15.77000046,16.26000023,11740000,LI
2020-08-04,16.69000053,16.84000015,15.94999981,16.54999924,7781800,LI
2020-08-05,16.75,17,16.39999962,16.64900017,3991400,LI
2020-08-06,18.5,19.89999962,16.62999916,16.79999924,14142900,LI
2020-08-07,16.88999939,19.32999992,16.60000038,17.75,7459700,LI
2020-08-10,16.42000008,17.76000023,16.12000084,17.60000038,7914400,LI
2020-08-11,16,17.03000069,15.82999992,16.93000031,7337700,LI
2020-08-12,15.65999985,16.36000061,15.13500023,16.36000061,5610900,LI
2020-08-13,15.15999985,15.69999981,15,15.69999981,5384600,LI
2020-08-14,14.60000038,15.35999966,14.31000042,15.35000038,5070200,LI
2020-08-17,15.42000008,15.60000038,14.60000038,14.76000023,5296500,LI
2020-08-18,15.96000004,16.75,15.35999966,15.36400032,7163100,LI
2020-08-19,15.03999996,16.06999969,15.01000023,15.97999954,3288000,LI
2020-08-20,14.75,15.30000019,14.60999966,15.06000042,3138900,LI
2020-08-21,15.02000046,15.5,14.76000023,14.93999958,4223600,LI
2020-08-24,17.09000015,17.20000076,15.88000011,16.29999924,19359100,LI
2020-08-25,18.22999954,18.84000015,17.68000031,17.79700089,22093900,LI
2020-08-26,23.37999916,24.47999954,18.98999977,18.98999977,31561300,LI
2020-08-27,19.37999916,22.30999947,19.29999924,22.26000023,29318200,LI
2020-08-28,17.60000038,20.5,17.60000038,20.20999908,14639300,LI
2020-08-31,16.29999924,18.84000015,16.20000076,17.75900078,18322700,LI
2020-09-01,18.29000092,18.45999908,16.70000076,17.07999992,18119400,LI
2020-09-02,17.87000084,19.68000031,17.20000076,19.37999916,18415000,LI
2020-09-03,16.90999985,17.60000038,16.26000023,17.17399979,10210100,LI
2020-09-04,16.82999992,17.89999962,16.04000092,17.07999992,11650600,LI
2020-09-08,15.78999996,16.35000038,15.23999977,16,11067600,LI
